"itemid","label"
598,"RUE [Sensation]"
599,"RUL Lung Sounds"
604,"Radiologic Study"
1047,"Range of Motion"
924,"Readmission"
605,"Reason For Restraint"
926,"Religion"
610,"Removed x 5 Mins"
614,"Resp Rate (Spont)"
615,"Resp Rate (Total)"
616,"Respiratory Effort"
617,"Respiratory Pattern"
618,"Respiratory Rate"
619,"Respiratory Rate Set"
620,"Responds to Stimuli [Type]"
8474,"Responds to Stimuli [Value]"
621,"Restraint Location"
622,"Restraint Type"
623,"Restraints Evaluated"
1337,"Riker-SAS Scale"
1484,"Risk for Falls"
631,"Sensitivity-Vent"
919,"Service"
1125,"Service Type"
637,"Side Rails"
640,"Significant Events"
642,"Skin Care"
644,"Skin Integrity"
1536,"Sodium"
837,"Sodium (135-148)"
1803,"Solumedrol"
646,"SpO2"
8554,"SpO2 Alarm [High]"
5820,"SpO2 Alarm [Low]"
649,"Spiritual Support"
651,"Spon RR (Mech.)"
652,"Spon. Vt (L) (Mech.)"
655,"Spontaneous Movement"
8476,"Sputum Consistency"
657,"Sputum Source"
8477,"Sputum [Amount]"
656,"Sputum [Color]"
660,"Stool Guaiac"
661,"Stool Management"
659,"Stool [Color]"
8478,"Stool [Consistency]"
663,"Support Systems"
6206,"Tank A psi."
6207,"Tank B psi."
674,"Temp. Site"
677,"Temperature C (calc)"
678,"Temperature F"
680,"Therapeutic Bed"
682,"Tidal Volume (Obser)"
683,"Tidal Volume (Set)"
684,"Tidal Volume (Spont)"
1538,"Total Bili"
848,"Total Bili (0-1.5)"
687,"Trach Care"
690,"Trach Size"
688,"Trach [Cuff]"
8479,"Trach [Fenestra]"
691,"Tracheostomy Cuff"
692,"Tracheostomy Type"
693,"Tract/Imm Location#1"
697,"Traction/Immobile #1"
704,"Turn"
705,"Untoward Effect"
707,"Urine Source"
8480,"Urine [Appearance]"
706,"Urine [Color]"
855,"Vancomycin/Random"
6208,"Ve High"
720,"Ventilator Mode"
722,"Ventilator Type"
723,"Verbal Response"
730,"Vital Cap (>1.0)L"
1542,"WBC"
1127,"WBC   (4-11,000)"
861,"WBC (4-11,000)"
731,"Warming [Device]"
8485,"Warming [Status]"
732,"Waveform-Vent"
733,"Weight Change"
742,"calprevflg"
