"itemid","label"
131,"Compliance (40-60ml)"
134,"Cooling [Device]"
8379,"Cooling [Status]"
136,"Cough Effort"
138,"Cough Type"
1525,"Creatinine"
791,"Creatinine (0-1.3)"
141,"Cuff Pressure-Airway"
1526,"D-Dimer"
793,"D-Dimer (0-500)"
1390,"DO2"
1391,"DO2I"
1425,"Daily Wake Up"
763,"Daily Weight"
917,"Diagnosis/op"
154,"Diet Type"
795,"Differential-Bands"
796,"Differential-Basos"
797,"Differential-Eos"
798,"Differential-Lymphs"
799,"Differential-Monos"
800,"Differential-Polys"
801,"Digoxin"
802,"Dilantin"
1527,"Direct Bili"
803,"Direct Bili (0-0.3)"
8381,"Dorsal PedPulse [Left]"
156,"Dorsal PedPulse [Right]"
1426,"Drowsiness"
158,"ETT Position Change"
8382,"ETT [Location]"
157,"ETT [Mark]"
159,"Ectopy Frequency"
161,"Ectopy Type"
8383,"Edema #1 [Amount]"
163,"Edema #1 [Location]"
8384,"Edema #2 [Amount]"
164,"Edema #2 [Location]"
930,"Ext"
184,"Eye Opening"
187,"Family Communication"
190,"FiO2 Set"
1528,"Fibrinogen"
806,"Fibrinogen (150-400)"
807,"Fingerstick Glucose"
198,"GCS Total"
8388,"GI Intub #1 [Site]"
200,"GI Intub #1 [Type]"
1427,"GI Prophylaxis [Drug #1]"
8488,"GI Prophylaxis [Drug #2]"
199,"GI [Guaiac]"
202,"GI#1 Tube PlaceCheck"
8390,"GI#1 Tube [Drain]"
203,"GI#1 Tube [Status]"
1529,"Glucose"
811,"Glucose (70-105)"
210,"HOB"
1428,"Headache"
211,"Heart Rate"
212,"Heart Rhythm"
813,"Hematocrit"
814,"Hemoglobin"
218,"High Insp. Pressure"
219,"High Resp. Rate"
221,"I:E Ratio"
1530,"INR"
815,"INR (2-4 ref. range)"
230,"INV Line#1 Zero/Cal"
8392,"INV Line#1 [Site]"
229,"INV Line#1 [Type]"
232,"INV Line#1SiteAppear"
236,"INV Line#2 Zero/Cal"
8393,"INV Line#2 [Site]"
235,"INV Line#2 [Type]"
238,"INV Line#2SiteAppear"
242,"INV Line#3 Zero/Cal"
8394,"INV Line#3 [Site]"
241,"INV Line#3 [Type]"
244,"INV Line#3SiteAppear"
283,"INV#1 WaveformAppear"
284,"INV#2 WaveformAppear"
285,"INV#3 WaveformAppear"
1479,"IV #1 Reason DC'D"
294,"IV #1 [Site]"
8400,"IV #1 [Size]"
1480,"IV #2 Reason DC'D"
297,"IV #2 [Site]"
8401,"IV #2 [Size]"
324,"IV Site Appear #1"
344,"ImpSkin Character #1"
356,"ImpSkin Treatment #1"
374,"Impaired Skin Site#1"
410,"Incentive Spirometry"
417,"Inspired Gas Temp"
816,"Ionized Calcium"
421,"LCW"
422,"LCWI"
817,"LDH"
425,"LLL Lung Sounds"
428,"LUL Lung Sounds"
430,"LVSW"
431,"LVSWI"
1531,"Lactic Acid"
818,"Lactic Acid(0.5-2.0)"
1043,"Less Restrict Meas."
432,"Level of Conscious"
820,"Lipase"
434,"Low Exhaled Min Vol"
8437,"MDI #1 [Drug]"
439,"MDI #1 [Puff]"
8438,"MDI #2 [Drug]"
440,"MDI #2 [Puff]"
8439,"MDI #3 [Drug]"
441,"MDI #3 [Puff]"
1532,"Magnesium"
821,"Magnesium (1.6-2.6)"
925,"Marital Status"
444,"Mean Airway Pressure"
450,"Minute Volume(Obser)"
822,"Mixed Venous O2"
823,"Mixed Venous O2% Sat"
454,"Motor Response"
456,"NBP Mean"
8441,"NBP [Diastolic]"
455,"NBP [Systolic]"
1430,"Nausea and Vomiting"
459,"Neg Insp Force(>-25)"
467,"O2 Delivery Device"
470,"O2 Flow (lpm)"
472,"O2AV"
473,"O2AVI"
477,"Oral Care"
478,"Oral Cavity"
1431,"Orient/Clouding Sens"
479,"Orientation"
490,"PAO2"
491,"PAP Mean"
8448,"PAP [Diastolic]"
492,"PAP [Systolic]"
504,"PCWP"
506,"PEEP Set"
1286,"PT"
824,"PT(11-13.5)"
1533,"PTT"
825,"PTT(22-35)"
512,"PVR"
513,"PVRI"
1087,"Pain Assess Method"
522,"Pain Cause"
1044,"Pain Level"
524,"Pain Level (Rest)"
525,"Pain Location"
1046,"Pain Present"
1623,"Parameters Checked"
1432,"Paroxysmal Sweats"
530,"Peak Flow"
535,"Peak Insp. Pressure"
1534,"Phosphorous"
827,"Phosphorous(2.7-4.5)"
543,"Plateau Pressure"
545,"Plateau-Off"
828,"Platelets"
547,"Position"
548,"Position Change"
8456,"PostTib. Pulses [Left]"
549,"PostTib. Pulses [Right]"
1535,"Potassium"
829,"Potassium (3.5-5.3)"
550,"Precautions"
554,"Press Sore Site #2"
564,"PressSoreCleansing#1"
565,"PressSoreCleansing#2"
567,"PressSoreTreatment#1"
568,"PressSoreTreatment#2"
570,"PressSoreWoundBase#1"
571,"PressSoreWoundBase#2"
8457,"Pressure Sore #1 [Heal]"
8463,"Pressure Sore #1 [Length]"
551,"Pressure Sore #1 [Stage]"
561,"Pressure Sore #1 [Width]"
8458,"Pressure Sore #2 [Heal]"
8464,"Pressure Sore #2 [Length]"
552,"Pressure Sore #2 [Stage]"
562,"Pressure Sore #2 [Width]"
574,"Pressure Sore Odor#2"
576,"Pressure Sore Site#1"
578,"Pressure Support"
579,"PressureReduceDevice"
580,"Previous Weight"
581,"Previous WeightF"
582,"Procedures"
833,"RBC"
588,"RCW"
589,"RCWI"
593,"RLL Lung Sounds"
1397,"RSBI (<100)"
595,"RSBI (<200)"
1483,"RSBI Not Completed"
599,"RUL Lung Sounds"
601,"RVSW"
602,"RVSWI"
604,"Radiologic Study"
1047,"Range of Motion"
924,"Readmission"
1517,"Readmit <48 hrs"
605,"Reason For Restraint"
926,"Religion"
610,"Removed x 5 Mins"
614,"Resp Rate (Spont)"
615,"Resp Rate (Total)"
616,"Respiratory Effort"
617,"Respiratory Pattern"
618,"Respiratory Rate"
619,"Respiratory Rate Set"
621,"Restraint Location"
622,"Restraint Type"
623,"Restraints Evaluated"
1337,"Riker-SAS Scale"
1484,"Risk for Falls"
625,"SVI"
626,"SVR"
627,"SVRI"
834,"SaO2"
1433,"Seizure"
631,"Sensitivity-Vent"
919,"Service"
1125,"Service Type"
637,"Side Rails"
640,"Significant Events"
642,"Skin Care"
644,"Skin Integrity"
1434,"Slurred Speech"
1536,"Sodium"
837,"Sodium (135-148)"
646,"SpO2"
651,"Spon RR (Mech.)"
652,"Spon. Vt (L) (Mech.)"
8476,"Sputum Consistency"
657,"Sputum Source"
8477,"Sputum [Amount]"
656,"Sputum [Color]"
660,"Stool Guaiac"
661,"Stool Management"
659,"Stool [Color]"
8478,"Stool [Consistency]"
662,"Stroke Volume"
663,"Support Systems"
1435,"Sustained Nystamus"
1436,"Tactile Disturbances"
674,"Temp. Site"
676,"Temperature C"
677,"Temperature C (calc)"
678,"Temperature F"
679,"Temperature F (calc)"
682,"Tidal Volume (Obser)"
683,"Tidal Volume (Set)"
684,"Tidal Volume (Spont)"
1538,"Total Bili"
848,"Total Bili (0-1.5)"
686,"Total PEEP Level"
1437,"Tremor"
1540,"Triglyceride"
850,"Triglyceride (0-200)"
704,"Turn"
852,"Tylenol"
707,"Urine Source"
8480,"Urine [Appearance]"
706,"Urine [Color]"
855,"Vancomycin/Random"
856,"Vancomycin/Trough"
857,"Venous CO2(Calc)"
858,"Venous PvCO2"
859,"Venous PvO2"
860,"Venous pH"
720,"Ventilator Mode"
721,"Ventilator No."
722,"Ventilator Type"
723,"Verbal Response"
1439,"Visual Disturbances"
730,"Vital Cap (>1.0)L"
1542,"WBC"
1127,"WBC   (4-11,000)"
861,"WBC (4-11,000)"
732,"Waveform-Vent"
733,"Weight Change"
742,"calprevflg"
1650,"high mv"
1401,"zzO2AV"
1402,"zzO2AVI"
